DATE,DID,ROUTE,SID,TIME,VID,timestamp
2018-11-12,14___I_F00,14,5608,1542009869.0,7250,2018-11-12 08:04:29-08:00
2018-11-12,12___I_F00,12,4681,1542009869.0,8932,2018-11-12 08:04:29-08:00
2018-11-12,14___O_F00,14,5545,1542009884.0,7286,2018-11-12 08:04:44-08:00
2018-11-12,14___I_F00,14,5541,1542009884.0,7220,2018-11-12 08:04:44-08:00
2018-11-12,12___O_F00,12,4666,1542009884.0,8766,2018-11-12 08:04:44-08:00
2018-11-12,14___I_F00,14,5547,1542009884.0,7232,2018-11-12 08:04:44-08:00
2018-11-12,12___I_F00,12,5852,1542009884.0,8912,2018-11-12 08:04:44-08:00
2018-11-12,14___I_F00,14,5605,1542009899.0,7283,2018-11-12 08:04:59-08:00
2018-11-12,12___O_F00,12,5846,1542009899.0,8705,2018-11-12 08:04:59-08:00
2018-11-12,12___I_F00,12,5847,1542009914.0,8912,2018-11-12 08:05:14-08:00
2018-11-12,14___I_F00,14,5601,1542009914.0,7250,2018-11-12 08:05:14-08:00
2018-11-12,14___I_F00,14,5561,1542009914.0,7229,2018-11-12 08:05:14-08:00
2018-11-12,14___I_F00,14,5595,1542009914.0,7250,2018-11-12 08:05:14-08:00
2018-11-12,12___I_F00,12,4677,1542009929.0,8932,2018-11-12 08:05:29-08:00
2018-11-12,14___O_F00,14,6498,1542009929.0,7254,2018-11-12 08:05:29-08:00
2018-11-12,14___O_F00,14,5836,1542009929.0,7286,2018-11-12 08:05:29-08:00
2018-11-12,14___I_F00,14,5544,1542009944.0,7275,2018-11-12 08:05:44-08:00
2018-11-12,14___O_F00,14,5529,1542009944.0,7225,2018-11-12 08:05:44-08:00
2018-11-12,12___I_F00,12,5856,1542009944.0,8912,2018-11-12 08:05:44-08:00
2018-11-12,14___I_F00,14,7129,1542009944.0,7220,2018-11-12 08:05:44-08:00
2018-11-12,12___O_F00,12,3011,1542009959.0,8728,2018-11-12 08:05:59-08:00
2018-11-12,14___I_F00,14,5613,1542009959.0,7283,2018-11-12 08:05:59-08:00
2018-11-12,14___O_F00,14,5554,1542009959.0,7237,2018-11-12 08:05:59-08:00
2018-11-12,12___O_F00,12,5841,1542009959.0,8705,2018-11-12 08:05:59-08:00
2018-11-12,14___I_F00,14,5537,1542009989.0,7272,2018-11-12 08:06:29-08:00
2018-11-12,12___I_F00,12,4675,1542009989.0,8932,2018-11-12 08:06:29-08:00
2018-11-12,14___I_F00,14,5537,1542010004.0,7220,2018-11-12 08:06:44-08:00
2018-11-12,14___I_F00,14,5546,1542010004.0,7232,2018-11-12 08:06:44-08:00
2018-11-12,14___O_F00,14,5835,1542010004.0,7286,2018-11-12 08:06:44-08:00
2018-11-12,14___I_F00,14,5575,1542010004.0,7250,2018-11-12 08:06:44-08:00
2018-11-12,14___O_F00,14,5532,1542010004.0,7225,2018-11-12 08:06:44-08:00
2018-11-12,14___I_F00,14,7299,1542010004.0,7275,2018-11-12 08:06:44-08:00
2018-11-12,12___O_F00,12,4669,1542010019.0,8766,2018-11-12 08:06:59-08:00
2018-11-12,12___I_F00,12,5840,1542010019.0,8912,2018-11-12 08:06:59-08:00
2018-11-12,14___I_F00,14,5596,1542010019.0,7283,2018-11-12 08:06:59-08:00
2018-11-12,12___O_F00,12,5857,1542010019.0,8705,2018-11-12 08:06:59-08:00
2018-11-12,14___O_F00,14,5558,1542010019.0,7237,2018-11-12 08:06:59-08:00
2018-11-12,14___I_F00,14,5557,1542010034.0,7229,2018-11-12 08:07:14-08:00
2018-11-12,14___I_F00,14,5593,1542010049.0,7250,2018-11-12 08:07:29-08:00
2018-11-12,14___I_F00,14,5535,1542010049.0,7272,2018-11-12 08:07:29-08:00
2018-11-12,12___I_F00,12,5838,1542010064.0,8912,2018-11-12 08:07:44-08:00
2018-11-12,14___O_F00,14,5534,1542010064.0,7225,2018-11-12 08:07:44-08:00
2018-11-12,12___I_F00,12,5845,1542010064.0,8912,2018-11-12 08:07:44-08:00
2018-11-12,14___O_F00,14,5548,1542010064.0,7286,2018-11-12 08:07:44-08:00
2018-11-12,14___I_F00,14,5535,1542010064.0,7220,2018-11-12 08:07:44-08:00
2018-11-12,12___O_F00,12,5853,1542010079.0,8705,2018-11-12 08:07:59-08:00
2018-11-12,12___O_F00,12,4966,1542010079.0,8728,2018-11-12 08:07:59-08:00
2018-11-12,12___O_F00,12,5848,1542010079.0,8705,2018-11-12 08:07:59-08:00
2018-11-12,14___I_F00,14,5577,1542010079.0,7283,2018-11-12 08:07:59-08:00
2018-11-12,14___O_F00,14,5562,1542010079.0,7237,2018-11-12 08:07:59-08:00
2018-11-12,14___I_F00,14,5553,1542010109.0,7229,2018-11-12 08:08:29-08:00
2018-11-12,12___I_F00,12,7733,1542010109.0,8932,2018-11-12 08:08:29-08:00
2018-11-12,14___I_F00,14,5599,1542010124.0,7250,2018-11-12 08:08:44-08:00
2018-11-12,14___I_F00,14,7299,1542010124.0,7232,2018-11-12 08:08:44-08:00
2018-11-12,12___O_F00,12,4672,1542010124.0,8766,2018-11-12 08:08:44-08:00
2018-11-12,12___I_F00,12,5843,1542010124.0,8912,2018-11-12 08:08:44-08:00
2018-11-12,14___I_F00,14,5571,1542010139.0,7283,2018-11-12 08:08:59-08:00
2018-11-12,14___O_F00,14,6498,1542010139.0,7244,2018-11-12 08:08:59-08:00
2018-11-12,14___O_F00,14,5566,1542010139.0,7237,2018-11-12 08:08:59-08:00
2018-11-12,14___I_F00,14,5583,1542010139.0,7283,2018-11-12 08:08:59-08:00
2018-11-12,14___O_F00,14,5623,1542010139.0,7244,2018-11-12 08:08:59-08:00
2018-11-12,12___I_F00,12,4671,1542010169.0,8932,2018-11-12 08:09:29-08:00
2018-11-12,14___I_F00,14,5615,1542010169.0,7250,2018-11-12 08:09:29-08:00
2018-11-12,14___I_F00,14,5533,1542010169.0,7272,2018-11-12 08:09:29-08:00
2018-11-12,14___O_F00,14,5536,1542010184.0,7225,2018-11-12 08:09:44-08:00
2018-11-12,12___O_F00,12,7732,1542010184.0,8766,2018-11-12 08:09:44-08:00
2018-11-12,14___O_F00,14,5552,1542010184.0,7286,2018-11-12 08:09:44-08:00
2018-11-12,14___I_F00,14,5533,1542010184.0,7220,2018-11-12 08:09:44-08:00
2018-11-12,14___I_F00,14,5546,1542010184.0,7275,2018-11-12 08:09:44-08:00
2018-11-12,12___O_F00,12,3087,1542010199.0,8705,2018-11-12 08:09:59-08:00
2018-11-12,14___I_F00,14,5544,1542010199.0,7232,2018-11-12 08:09:59-08:00
2018-11-12,12___O_F00,12,4967,1542010199.0,8728,2018-11-12 08:09:59-08:00
2018-11-12,14___I_F00,14,5551,1542010214.0,7229,2018-11-12 08:10:14-08:00
2018-11-12,14___I_F00,14,5610,1542010229.0,7250,2018-11-12 08:10:29-08:00
2018-11-12,12___I_F00,12,4668,1542010229.0,8932,2018-11-12 08:10:29-08:00
2018-11-12,12___O_F00,12,4968,1542010229.0,8728,2018-11-12 08:10:29-08:00
2018-11-12,14___O_F00,14,5554,1542010244.0,7286,2018-11-12 08:10:44-08:00
2018-11-12,14___I_F00,14,5547,1542010244.0,7275,2018-11-12 08:10:44-08:00
2018-11-12,12___I_F00,12,5850,1542010244.0,8912,2018-11-12 08:10:44-08:00
2018-11-12,12___I_F00,12,7203,1542010244.0,8912,2018-11-12 08:10:44-08:00
2018-11-12,12___I_F00,12,37941,1542010244.0,8912,2018-11-12 08:10:44-08:00
2018-11-12,14___O_F00,14,5538,1542010244.0,7225,2018-11-12 08:10:44-08:00
2018-11-12,12___O_F00,12,4676,1542010244.0,8766,2018-11-12 08:10:44-08:00
2018-11-12,14___I_F00,14,7841,1542010259.0,7283,2018-11-12 08:10:59-08:00
2018-11-12,14___I_F00,14,5547,1542010274.0,7229,2018-11-12 08:11:14-08:00
2018-11-12,14___I_F00,14,5582,1542010289.0,7250,2018-11-12 08:11:29-08:00
2018-11-12,14___I_F00,14,5531,1542010289.0,7272,2018-11-12 08:11:29-08:00
2018-11-12,12___I_F00,12,4667,1542010289.0,8932,2018-11-12 08:11:29-08:00
2018-11-12,14___I_F00,14,5551,1542010304.0,7275,2018-11-12 08:11:44-08:00
2018-11-12,12___O_F00,12,7941,1542010304.0,8912,2018-11-12 08:11:44-08:00
2018-11-12,14___O_F00,14,5539,1542010304.0,7225,2018-11-12 08:11:44-08:00
2018-11-12,12___O_F00,12,3082,1542010319.0,8705,2018-11-12 08:11:59-08:00
2018-11-12,12___O_F00,12,4969,1542010319.0,8728,2018-11-12 08:11:59-08:00
2018-11-12,14___I_F00,14,5541,1542010319.0,7232,2018-11-12 08:11:59-08:00
2018-11-12,14___I_F00,14,5542,1542010319.0,7232,2018-11-12 08:11:59-08:00
2018-11-12,14___O_F00,14,5626,1542010319.0,7237,2018-11-12 08:11:59-08:00
2018-11-12,14___I_F00,14,5530,1542010334.0,7272,2018-11-12 08:12:14-08:00
2018-11-12,14___I_F00,14,5546,1542010334.0,7229,2018-11-12 08:12:14-08:00
2018-11-12,14___I_F00,14,5586,1542010349.0,7250,2018-11-12 08:12:29-08:00
2018-11-12,14___O_F00,14,5623,1542010349.0,7254,2018-11-12 08:12:29-08:00
2018-11-12,12___O_F00,12,4680,1542010364.0,8766,2018-11-12 08:12:44-08:00
2018-11-12,12___O_F00,12,7312,1542010364.0,8766,2018-11-12 08:12:44-08:00
2018-11-12,14___I_F00,14,7129,1542010364.0,7232,2018-11-12 08:12:44-08:00
2018-11-12,14___I_F00,14,5531,1542010364.0,7220,2018-11-12 08:12:44-08:00
2018-11-12,14___I_F00,14,5553,1542010364.0,7275,2018-11-12 08:12:44-08:00
2018-11-12,14___O_F00,14,5558,1542010364.0,7286,2018-11-12 08:12:44-08:00
2018-11-12,12___I_F00,12,6877,1542010379.0,8927,2018-11-12 08:12:59-08:00
2018-11-12,12___O_F00,12,4970,1542010379.0,8728,2018-11-12 08:12:59-08:00
